"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","TOT. FIJOS  "
"FICHERO         ","FILE001"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-05"
"HORA            ","11:19"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD/No     ","IMPORTE         "
"0001","PRODUCTOS   ","314","872,850"
"0002","CLIENTES    ","90","872,850"
"0003","EFECT CAJA  ","0","872,850"
"0004","T DEBITO    ","0","0"
"0005","CREDITOS    ","0","0"
"0006","T CREDITO   ","0","0"
"0007","            ","0","0"
"0008","            ","0","0"
"0009","            ","0","0"
"0010","            ","0","0"
"0011","            ","0","0"
"0012","            ","0","0"
"0013","            ","0","0"
"0014","            ","0","0"
"0015","            ","0","0"
"0016","            ","0","0"
"0017","DEVUELTO    ","0","0"
"0018","            ","90","0"
"0019","AVRG        ","0","0"
"0020","C-1         ","0","0"
"0021","C-2         ","0","0"
"0022","CECA1       ","0","0"
"0023","CECK1       ","0","0"
"0024","CECA2       ","0","0"
"0025","CECK2       ","0","0"
"0026","DC          ","0","0"
"0027","            ","0","0"
"0028","DEV         ","0","54,400"
"0029","REDONDEO    ","0","0"
"0030","REDONDEO    ","0","0"
"0031","CANCELADO   ","0","0"
"0032","            ","0","0"
"0033","BASE DE IVA ","0","0"
"0034","IVA 19%     ","0","0"
"0035","BASE IMPOCON","0","0"
"0036","IMPOCONSU 8%","0","0"
"0037","BASE DE IVA ","0","0"
"0038","IVA 5%      ","0","0"
"0039","BASE4       ","0","0"
"0040","IVA4        ","0","0"
"0041","SIN TASA    ","0","872,850"
