"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","DEPTOS      "
"FICHERO         ","FILE005"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-08"
"HORA            ","15:55"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD        ","IMPORTE         "
"0001","            ","0","0"
"0002","            ","0","0"
"0003","BOLSAS3     ","0","0"
"0004","DEPT004     ","0","0"
"0005","DEPT005     ","0","0"
"0006","DEPT006     ","0","0"
"0007","DEPT007     ","0","0"
"0008","DEPT008     ","0","0"
"0009","DEPT009     ","0","0"
"0010","DEPT010     ","0","0"
"0011","DEPT011     ","0","0"
"0012","DEPT012     ","0","0"
"0013","DEPT013     ","0","0"
"0014","DEPT014     ","0","0"
"0015","DEPT015     ","0","0"
"0016","DEPT016     ","0","0"
"0017","DEPT017     ","0","0"
"0018","DEPT018     ","0","0"
"0019","DEPT019     ","0","0"
"0020","DEPT020     ","0","0"
"0021","DEPT021     ","0","0"
"0022","DEPT022     ","0","0"
"0023","DEPT023     ","0","0"
"0024","DEPT024     ","0","0"
"0025","UNIDADES    ","34","348,600"
"0026","SALDOS      ","0","0"
"0027","ENCARGOS    ","0","0"
"0028","DEPT028     ","0","0"
"0029","DEPT029     ","0","0"
"0030","DEPT030     ","0","0"
"0031","DEPT031     ","0","0"
"0032","DEPT032     ","0","0"
"0033","DEPT033     ","0","0"
"0034","DEPT034     ","0","0"
"0035","DEPT035     ","0","0"
"0036","DEPT036     ","0","0"
"0037","DEPT037     ","0","0"
"0038","DEPT038     ","0","0"
"0039","DEPT039     ","0","0"
"0040","DEPT040     ","0","0"
"0041","DEPT041     ","0","0"
"0042","DEPT042     ","0","0"
"0043","DEPT043     ","0","0"
"0044","DEPT044     ","0","0"
"0045","DEPT045     ","0","0"
"0046","DEPT046     ","0","0"
"0047","DEPT047     ","0","0"
"0048","DEPT048     ","0","0"
"0049","DEPT049     ","0","0"
"0050","DEPT050     ","0","0"
"0051","DEPT051     ","0","0"
"0052","DEPT052     ","0","0"
"0053","DEPT053     ","0","0"
"0054","DEPT054     ","0","0"
"0055","DEPT055     ","0","0"
"0056","DEPT056     ","0","0"
"0057","DEPT057     ","0","0"
"0058","DEPT058     ","0","0"
"0059","DEPT059     ","0","0"
"0060","DEPT060     ","0","0"
"0061","DEPT061     ","0","0"
"0062","DEPT062     ","0","0"
"0063","DEPT063     ","0","0"
"0064","DEPT064     ","0","0"
"0065","DEPT065     ","0","0"
"0066","DEPT066     ","0","0"
"0067","DEPT067     ","0","0"
"0068","DEPT068     ","0","0"
"0069","DEPT069     ","0","0"
"0070","DEPT070     ","0","0"
"0071","DEPT071     ","0","0"
"0072","DEPT072     ","0","0"
"0073","DEPT073     ","0","0"
"0074","DEPT074     ","0","0"
"0075","DEPT075     ","0","0"
"0076","DEPT076     ","0","0"
"0077","DEPT077     ","0","0"
"0078","DEPT078     ","0","0"
"0079","DEPT079     ","0","0"
"0080","DEPT080     ","0","0"
"0081","DEPT081     ","0","0"
"0082","DEPT082     ","0","0"
"0083","DEPT083     ","0","0"
"0084","DEPT084     ","0","0"
"0085","DEPT085     ","0","0"
"0086","DEPT086     ","0","0"
"0087","DEPT087     ","0","0"
"0088","DEPT088     ","0","0"
"0089","DEPT089     ","0","0"
"0090","DEPT090     ","0","0"
"0091","DEPT091     ","0","0"
"0092","DEPT092     ","0","0"
"0093","DEPT093     ","0","0"
"0094","DEPT094     ","0","0"
"0095","DEPT095     ","0","0"
"0096","DEPT096     ","0","0"
"0097","DEPT097     ","0","0"
"0098","DEPT098     ","0","0"
"0099","DEPT099     ","0","0"
"0100","DEPT100     ","0","0"
"0101","DEPT101     ","0","0"
"0102","DEPT102     ","0","0"
"0103","DEPT103     ","0","0"
"0104","DEPT104     ","0","0"
"0105","DEPT105     ","0","0"
"0106","DEPT106     ","0","0"
"0107","DEPT107     ","0","0"
"0108","DEPT108     ","0","0"
"0109","DEPT109     ","0","0"
"0110","DEPT110     ","0","0"
"0111","DEPT111     ","0","0"
"0112","DEPT112     ","0","0"
"0113","DEPT113     ","0","0"
"0114","DEPT114     ","0","0"
"0115","DEPT115     ","0","0"
"0116","DEPT116     ","0","0"
"0117","DEPT117     ","0","0"
"0118","DEPT118     ","0","0"
"0119","DEPT119     ","0","0"
"0120","DEPT120     ","0","0"
"0121","DEPT121     ","0","0"
"0122","DEPT122     ","0","0"
"0123","DEPT123     ","0","0"
"0124","DEPT124     ","0","0"
"0125","DEPT125     ","0","0"
"0126","DEPT126     ","0","0"
"0127","DEPT127     ","0","0"
"0128","DEPT128     ","0","0"
"0129","DEPT129     ","0","0"
"0130","DEPT130     ","0","0"
"0131","DEPT131     ","0","0"
"0132","DEPT132     ","0","0"
"0133","DEPT133     ","0","0"
"0134","DEPT134     ","0","0"
"0135","DEPT135     ","0","0"
"0136","DEPT136     ","0","0"
"0137","DEPT137     ","0","0"
"0138","DEPT138     ","0","0"
"0139","DEPT139     ","0","0"
"0140","DEPT140     ","0","0"
"0141","DEPT141     ","0","0"
"0142","DEPT142     ","0","0"
"0143","DEPT143     ","0","0"
"0144","DEPT144     ","0","0"
"0145","DEPT145     ","0","0"
"0146","DEPT146     ","0","0"
"0147","DEPT147     ","0","0"
"0148","DEPT148     ","0","0"
"0149","DEPT149     ","0","0"
"0150","DEPT150     ","0","0"
"0151","DEPT151     ","0","0"
"0152","DEPT152     ","0","0"
"0153","DEPT153     ","0","0"
"0154","DEPT154     ","0","0"
"0155","DEPT155     ","0","0"
"0156","DEPT156     ","0","0"
"0157","DEPT157     ","0","0"
"0158","DEPT158     ","0","0"
"0159","DEPT159     ","0","0"
"0160","DEPT160     ","0","0"
"0161","DEPT161     ","0","0"
"0162","DEPT162     ","0","0"
"0163","DEPT163     ","0","0"
"0164","DEPT164     ","0","0"
"0165","DEPT165     ","0","0"
"0166","DEPT166     ","0","0"
"0167","DEPT167     ","0","0"
"0168","DEPT168     ","0","0"
"0169","DEPT169     ","0","0"
"0170","DEPT170     ","0","0"
"0171","DEPT171     ","0","0"
"0172","DEPT172     ","0","0"
"0173","DEPT173     ","0","0"
"0174","DEPT174     ","0","0"
"0175","DEPT175     ","0","0"
"0176","DEPT176     ","0","0"
"0177","DEPT177     ","0","0"
"0178","DEPT178     ","0","0"
"0179","DEPT179     ","0","0"
"0180","DEPT180     ","0","0"
"0181","DEPT181     ","0","0"
"0182","DEPT182     ","0","0"
"0183","DEPT183     ","0","0"
"0184","DEPT184     ","0","0"
"0185","DEPT185     ","0","0"
"0186","DEPT186     ","0","0"
"0187","DEPT187     ","0","0"
"0188","DEPT188     ","0","0"
"0189","DEPT189     ","0","0"
"0190","DEPT190     ","0","0"
"0191","DEPT191     ","0","0"
"0192","DEPT192     ","0","0"
"0193","DEPT193     ","0","0"
"0194","DEPT194     ","0","0"
"0195","DEPT195     ","0","0"
"0196","DEPT196     ","0","0"
"0197","DEPT197     ","0","0"
"0198","DEPT198     ","0","0"
"0199","DEPT199     ","0","0"
"0200","DEPT200     ","0","0"
