"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","PLU         "
"FICHERO         ","FILE004"
"MODO            ","X   "
"CONTADOR ZETAS  ","0000"
"FECHA           ","2018-12-07"
"HORA            ","17:00"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD        ","IMPORTE         "
"0001","0.5 OZX100  ","0","0"
"0002","1OZX100     ","1","2,600"
"0003","1.5OZX100   ","0","0"
"0004","2.5OZX5100  ","0","0"
"0005","7TAMIX25    ","2","3,400"
"0006","9TAMIX25    ","0","0"
"0007","1CRISTX25   ","1","1,800"
"0008","3CRISTX12   ","0","0"
"0009","7CRISTX12   ","1","3,200"
"0010","9CRISTX12   ","0","0"
"0011","9CRISTX25   ","0","0"
"0012","12CRISTX12  ","0","0"
"0013","7COLORX12   ","1","2,300"
"0014","4ICOPORX20  ","0","0"
"0015","6ICOPORX20  ","3","4,500"
"0016","8ICOPORX20  ","0","0"
"0017","8ICOCON TX20","0","0"
"0018","0.5SAMBAX50 ","0","0"
"0019","1 SAMBAX50  ","0","0"
"0020","2 SAMBAX50  ","0","0"
"0021","3.5 IRISX50 ","9","14,400"
"0022","5.5 BICX50  ","2","3,200"
"0023","7 SAMBAX50  ","0","0"
"0024","9 SAMBAX50  ","2","5,200"
"0025","10 SAMBAX50 ","2","5,600"
"0026","12 SAMBAX50 ","0","0"
"0027","CAFE IRISX50","0","0"
"0028","CAFE BLCOX50","0","0"
"0029","7IRISX50    ","0","0"
"0030","4 SAMBAX25  ","2","2,400"
"0031","14 SAMBAX25 ","0","0"
"0032","16 SAMBAX25 ","0","0"
"0033","3.5WAUX50   ","0","0"
"0034","5 WAU X50   ","0","0"
"0035","7 WAU X50   ","8","12,000"
"0036","9 WAU X50   ","0","0"
"0037","10WAU X50   ","1","2,800"
"0038","12 WAU X50  ","0","0"
"0039","13 WAU X25  ","5","11,000"
"0040","14 WAU X25  ","0","0"
"0041","16 WAU X25  ","1","2,800"
"0042","4 ICO X25   ","0","0"
"0043","6 ICO X25   ","0","0"
"0044","8 ICO X20   ","0","0"
"0045","4 CARTB X50 ","0","0"
"0046","4 CARTIMPX50","1","4,200"
"0047","6 CARTBX50  ","0","0"
"0048","6 CARTIMPX50","0","0"
"0049","9 CARTIMPX40","0","0"
"0050","5 BLANCOX50 ","2","3,000"
"0051","5 COLORX50  ","2","2,600"
"0052","7 VACANX50  ","0","0"
"0053","9 VACANX50  ","1","2,600"
"0054","12 VACANX50 ","0","0"
"0055","7 TUCXJ0    ","0","0"
"0056","12 LITOX25  ","0","0"
"0057","PLAT 5OZX20 ","0","0"
"0058","PLAT 12OZX20","0","0"
"0059","PLAT 16OZX20","0","0"
"0060","PLAT 25OZX20","2","6,400"
"0061","PLAT 30OZX20","0","0"
"0062","PLA 15.5X20 ","8","9,600"
"0063","PLAT 18OZX20","0","0"
"0064","PLAT 20OZX20","0","0"
"0065","PLAT 23OZX20","5","13,000"
"0066","PLAT 26OZX20","0","0"
"0067","P15.5TAMX20 ","0","0"
"0068","PLT18TAMX20 ","0","0"
"0069","PLT23TAMX20 ","0","0"
"0070","PLT26TAMX20 ","0","0"
"0071","PLT3DVNE    ","0","0"
"0072","PLT15OZ NEG ","0","0"
"0073","PLT 12OZ NEG","0","0"
"0074","P15.5CLRX12 ","0","0"
"0075","PLT 16CRISX6","0","0"
"0076","PLT23CRISTX6","0","0"
"0077","PETTCUADX24 ","0","0"
