"MODEL           ","                "
"MAQUINA         ","MC#01   "
"INFORME         ","FUNC LIBRES "
"FICHERO         ","FILE002"
"MODO            ","Z   "
"CONTADOR ZETAS  ","0108"
"FECHA           ","2018-12-06"
"HORA            ","16:34"

"REGISTRO        ","DESCRIPTOR      ","CANTIDAD/No     ","IMPORTE         "
"0001","EFECTIVO    ","76","540,400"
"0002","SUBTOTAL    ","0","0"
"0003","T CREDITO   ","0","0"
"0004","CUENTA      ","0","0"
"0005","OBR         ","0","0"
"0006","TAX PGM     ","0","0"
"0007","PAGOS       ","0","0"
"0008","BASE        ","0","0"
"0009","SIGN-OFF    ","0","0"
"0010","CAJERO#     ","0","0"
"0011","SHIFT/No    ","0","0"
"0012","DWN         ","0","0"
"0013","%-          ","0","0"
"0014","-           ","0","0"
"0015","PLU#        ","0","0"
"0016","PRC         ","0","0"
"0017","RCB ON/OFF  ","0","0"
"0018","CANCELAR    ","0","0"
"0019","DEVOL       ","1","2,000"
"0020","ABIERTO     ","0","0"
"0021","RCT         ","0","0"
"0022","00          ","0","0"
"0023",".           ","0","0"
"0024","T DEBITO    ","0","0"
"0025","CREDITOS    ","0","0"
"0026","INVENTARIO  ","0","0"
"0027","UP          ","0","0"
"0028","VER PRECIO  ","0","0"
"0029","X           ","0","0"
"0030","#/A.CAJON   ","9","0"
"0031","#/A.CAJON   ","0","0"
"0032","ANULAR      ","6","24,900"
"0033","            ","0","0"
"0034","            ","0","0"
"0035","            ","0","0"
"0036","            ","0","0"
"0037","            ","0","0"
"0038","            ","0","0"
"0039","            ","0","0"
"0040","            ","0","0"
"0041","            ","0","0"
"0042","            ","0","0"
"0043","            ","0","0"
"0044","            ","0","0"
"0045","            ","0","0"
"0046","            ","0","0"
"0047","            ","0","0"
"0048","            ","0","0"
"0049","            ","0","0"
"0050","            ","0","0"
